epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,341.412,0.93653,0.7838,1.27667,0.96069,0.96455,0.98478,0.82261,0.70408,0.39517,1.06017,0.003961,0.003961,0.003961
63,357.781,0.94244,0.76855,1.27968,0.9638,0.96286,0.98382,0.81865,0.72621,0.39728,1.05989,0.003862,0.003862,0.003862
64,373.896,0.93655,0.76794,1.28333,0.97119,0.96646,0.98766,0.83574,0.66899,0.37955,1.03237,0.003763,0.003763,0.003763
65,390.273,0.91468,0.7448,1.26245,0.9527,0.97272,0.98633,0.83435,0.65278,0.38734,1.0299,0.003664,0.003664,0.003664
66,406.456,0.92948,0.76434,1.27649,0.96518,0.96881,0.98657,0.83909,0.6659,0.37298,1.03243,0.003565,0.003565,0.003565
67,422.924,0.89793,0.73518,1.25347,0.96506,0.97101,0.98651,0.83602,0.66593,0.36992,1.03633,0.003466,0.003466,0.003466
68,439.308,0.89377,0.7305,1.25083,0.96789,0.97538,0.98656,0.82783,0.68817,0.37172,1.03905,0.003367,0.003367,0.003367
69,455.435,0.89407,0.72471,1.24838,0.9718,0.97113,0.98797,0.84372,0.65022,0.36282,1.02344,0.003268,0.003268,0.003268
70,471.695,0.91218,0.75608,1.26251,0.96749,0.97176,0.98975,0.84518,0.63567,0.36433,1.01536,0.003169,0.003169,0.003169
71,488.129,0.89077,0.70117,1.23491,0.9767,0.96871,0.98952,0.83934,0.64284,0.36697,1.01733,0.00307,0.00307,0.00307
72,504.45,0.89236,0.71961,1.2392,0.97183,0.97896,0.99052,0.85562,0.62351,0.35969,0.99994,0.002971,0.002971,0.002971
73,520.839,0.88066,0.70951,1.24247,0.96985,0.97765,0.99092,0.85539,0.62496,0.34908,1.00182,0.002872,0.002872,0.002872
74,536.926,0.87601,0.71116,1.23372,0.97141,0.97083,0.98866,0.84823,0.6272,0.35146,0.99739,0.002773,0.002773,0.002773
75,553.111,0.86678,0.70265,1.22381,0.97013,0.97997,0.99074,0.84973,0.62561,0.34586,1.00113,0.002674,0.002674,0.002674
